unidade;ano;mes;porte_i;porte_ii;porte_iii;porte_iv;sem_porte;total
HAC;2023;12;126;48;16;7;0;197
HAC;2024;1;88;36;16;3;29;172
HAC;2024;2;104;54;25;4;0;187
HAC;2024;3;102;61;19;9;0;191
HAC;2024;4;90;50;34;4;0;178
HAC;2024;5;98;50;25;6;0;179
HAC;2024;6;87;48;16;6;0;157
HAC;2024;7;103;40;12;7;0;162
HAC;2024;8;71;52;20;7;0;150
HAC;2024;9;106;54;18;5;0;183
HAC;2024;10;113;45;31;12;0;201
HAC;2024;11;85;59;28;7;0;179
HAC;2024;12;92;62;15;7;0;176
HAC;2025;1;96;47;25;9;0;177
HAC;2025;2;101;52;19;8;0;180
HAC;2025;3;102;71;27;5;0;205
HAC;2025;4;99;66;22;6;0;193
HAC;2025;5;88;68;24;14;0;194
HAC;2025;6;113;34;26;11;0;184
HAC;2025;7;114;62;24;10;0;210
HAC;2025;8;90;67;20;9;0;186
HAC;2025;9;123;49;20;11;0;203
HAC;2025;10;242;62;40;22;3;369
HAC;2025;11;232;38;13;4;2;289
HAC;2025;12;239;39;6;1;2;287
HAC;2026;1;186;32;12;6;3;239
HAC;2026;2;214;35;13;8;0;270
HAC;2026;3;292;50;19;8;1;370
HAC;2026;4;228;54;24;3;0;309
HAC;2026;5;271;52;29;4;0;356
HCM;2019;1;31;0;0;0;0;31
HCM;2019;2;42;0;0;0;0;42
HCM;2019;3;30;0;0;0;0;30
HCM;2019;4;22;0;0;0;0;22
HCM;2019;5;23;0;0;0;0;23
HCM;2019;6;52;0;0;0;0;52
HCM;2019;7;49;0;0;0;0;49
HCM;2019;8;45;0;0;0;0;45
HCM;2019;9;57;0;0;0;0;57
HCM;2019;10;71;0;0;0;0;71
HCM;2019;11;55;0;0;0;0;55
HCM;2019;12;61;0;0;0;0;61
HCM;2020;1;54;0;0;0;0;54
HCM;2020;2;21;0;0;0;0;21
HCM;2020;3;0;0;0;0;1;1
HCM;2020;4;0;0;0;0;0;0
HCM;2020;5;0;0;0;0;0;0
HCM;2020;6;0;0;0;0;0;0
HCM;2020;7;0;0;0;0;0;0
HCM;2020;8;0;0;0;0;0;0
HCM;2020;9;0;0;0;0;0;0
HCM;2020;10;0;0;0;0;0;0
HCM;2020;11;0;0;0;0;0;0
HCM;2020;12;0;0;0;0;0;0
HCM;2021;1;0;0;0;0;0;0
HCM;2021;2;0;0;0;0;0;0
HCM;2021;3;0;0;0;0;0;0
HCM;2021;4;0;0;0;0;0;0
HCM;2021;5;0;0;0;0;0;0
HCM;2021;6;0;0;0;0;0;0
HCM;2021;7;0;0;0;0;0;0
HCM;2021;8;0;0;0;0;0;0
HCM;2021;9;0;0;0;0;0;0
HCM;2021;10;0;0;0;0;0;0
HCM;2021;11;0;0;0;0;0;0
HCM;2021;12;0;0;0;0;0;0
HCM;2022;1;0;0;0;0;0;0
HCM;2022;2;0;0;0;0;0;0
HCM;2022;3;0;0;0;0;0;0
HCM;2022;4;0;0;0;0;0;0
HCM;2022;5;0;0;0;0;0;0
HCM;2022;6;0;0;0;0;0;0
